zip_code,lat,lon,city,state,county,type,state_full
00501,40.810001,-73.040001,HOLTSVILLE,NY,SUFFOLK,UNIQUE,New York
00544,40.810001,-73.040001,HOLTSVILLE,NY,SUFFOLK,UNIQUE,New York
00601,18.180555,-66.749963,ADJUNTAS,PR,ADJUNTAS,STANDARD,
00602,18.361944,-67.175600,AGUADA,PR,AGUADA,STANDARD,
00603,18.455183,-67.119886,AGUADILLA,PR,AGUADILLA,STANDARD,
00604,18.430000,-67.150001,AGUADILLA,PR,AGUADILLA,STANDARD,
00605,18.430000,-67.150001,AGUADILLA,PR,AGUADILLA,STANDARD,
00606,18.158345,-66.932910,MARICAO,PR,MARICAO,STANDARD,
00610,18.295365,-67.125132,ANASCO,PR,ANASCO,STANDARD,
00611,18.280001,-66.790002,ANGELES,PR,UTUADO,PO BOX ONLY,
00612,18.402253,-66.711400,ARECIBO,PR,ARECIBO,STANDARD,
00613,18.450001,-66.729999,ARECIBO,PR,ARECIBO,STANDARD,
00614,18.450001,-66.729999,ARECIBO,PR,ARECIBO,STANDARD,
00616,18.420412,-66.671976,BAJADERO,PR,ARECIBO,STANDARD,
00617,18.445148,-66.559695,BARCELONETA,PR,BARCELONETA,STANDARD,
00622,17.991244,-67.153990,BOQUERON,PR,CABO ROJO,STANDARD,
00623,18.083361,-67.153894,CABO ROJO,PR,CABO ROJO,STANDARD,
00624,18.064920,-66.716680,PENUELAS,PR,PENUELAS,STANDARD,
00627,18.412600,-66.863925,CAMUY,PR,CAMUY,STANDARD,
00631,18.190607,-66.832042,CASTANER,PR,LARES,STANDARD,
00636,18.150000,-67.059999,ROSARIO,PR,SAN GERMAN,STANDARD,
00637,18.076714,-66.947390,SABANA GRANDE,PR,SABANA GRANDE,STANDARD,
00638,18.295913,-66.515585,CIALES,PR,CIALES,STANDARD,
00641,18.263086,-66.712985,UTUADO,PR,UTUADO,STANDARD,
00646,18.433151,-66.285873,DORADO,PR,DORADO,STANDARD,
00647,17.963613,-66.947124,ENSENADA,PR,GUANICA,STANDARD,
00650,18.349416,-66.578082,FLORIDA,PR,FLORIDA,STANDARD,
00652,18.448452,-66.594126,GARROCHALES,PR,ARECIBO,STANDARD,
00653,17.985034,-66.886533,GUANICA,PR,GUANICA,STANDARD,
00656,18.053539,-66.792932,GUAYANILLA,PR,GUAYANILLA,STANDARD,
00659,18.407227,-66.808997,HATILLO,PR,HATILLO,STANDARD,
00660,18.134695,-67.116198,HORMIGUEROS,PR,HORMIGUEROS,STANDARD,
00662,18.468319,-67.015781,ISABELA,PR,ISABELA,STANDARD,
00664,18.210329,-66.591619,JAYUYA,PR,JAYUYA,STANDARD,
00667,18.003422,-67.035807,LAJAS,PR,LAJAS,STANDARD,
00669,18.277101,-66.869642,LARES,PR,LARES,STANDARD,
00670,18.240188,-66.988774,LAS MARIAS,PR,LAS MARIAS,STANDARD,
00674,18.422909,-66.489337,MANATI,PR,MANATI,STANDARD,
00676,18.377637,-67.079575,MOCA,PR,MOCA,STANDARD,
00677,18.332568,-67.227025,RINCON,PR,RINCON,STANDARD,
00678,18.434098,-66.927384,QUEBRADILLAS,PR,QUEBRADILLAS,STANDARD,
00680,18.182056,-67.132502,MAYAGUEZ,PR,MAYAGUEZ,STANDARD,
00681,18.200000,-67.140001,MAYAGUEZ,PR,MAYAGUEZ,STANDARD,
00682,18.221464,-67.156039,MAYAGUEZ,PR,MAYAGUEZ,STANDARD,
00683,18.107800,-67.037262,SAN GERMAN,PR,SAN GERMAN,STANDARD,
00685,18.332930,-66.959691,SAN SEBASTIAN,PR,SAN SEBASTIAN,STANDARD,
00687,18.319027,-66.420557,MOROVIS,PR,MOROVIS,STANDARD,
00688,18.382264,-66.626439,SABANA HOYOS,PR,ARECIBO,STANDARD,
00690,18.495510,-67.098672,SAN ANTONIO,PR,AGUADILLA,STANDARD,
00692,18.410188,-66.336559,VEGA ALTA,PR,VEGA ALTA,STANDARD,
00693,18.422999,-66.397232,VEGA BAJA,PR,VEGA BAJA,STANDARD,
00694,18.482371,-66.391078,VEGA BAJA,PR,VEGA BAJA,STANDARD,
00698,18.064848,-66.856316,YAUCO,PR,YAUCO,STANDARD,
00703,18.248401,-66.130663,AGUAS BUENAS,PR,AGUAS BUENAS,STANDARD,
00704,17.965769,-66.219558,AGUIRRE,PR,GUAYAMA,STANDARD,
00705,18.128961,-66.266680,AIBONITO,PR,AIBONITO,STANDARD,
00707,18.014055,-65.920751,MAUNABO,PR,MAUNABO,STANDARD,
00714,18.003025,-66.046235,ARROYO,PR,ARROYO,STANDARD,
00715,18.011233,-66.560064,MERCEDITA,PR,PONCE,STANDARD,
00716,17.992040,-66.605853,PONCE,PR,PONCE,STANDARD,
00717,18.003223,-66.614036,PONCE,PR,PONCE,STANDARD,
00718,18.231988,-65.759620,NAGUABO,PR,NAGUABO,STANDARD,
00719,18.289927,-66.253443,NARANJITO,PR,NARANJITO,STANDARD,
00720,18.217947,-66.428077,OROCOVIS,PR,OROCOVIS,STANDARD,
00721,18.370000,-65.770002,PALMER,PR,RIO GRANDE,STANDARD,
00723,18.043499,-66.015479,PATILLAS,PR,PATILLAS,STANDARD,
00725,18.218819,-66.042376,CAGUAS,PR,CAGUAS,STANDARD,
00726,18.230000,-66.030000,CAGUAS,PR,CAGUAS,STANDARD,
00727,18.215309,-66.073563,CAGUAS,PR,CAGUAS,STANDARD,
00728,17.989853,-66.664115,PONCE,PR,PONCE,STANDARD,
00729,18.323586,-65.883206,CANOVANAS,PR,CANOVANAS,STANDARD,
00730,18.030830,-66.616836,PONCE,PR,PONCE,STANDARD,
00731,18.109948,-66.635619,PONCE,PR,PONCE,STANDARD,
00732,17.980000,-66.600000,PONCE,PR,PONCE,STANDARD,
00733,17.980000,-66.600000,PONCE,PR,PONCE,STANDARD,
00734,17.980000,-66.600000,PONCE,PR,PONCE,STANDARD,
00735,18.252605,-65.682494,CEIBA,PR,CEIBA,STANDARD,
00736,18.103625,-66.151666,CAYEY,PR,CAYEY,STANDARD,
00737,18.110001,-66.159999,CAYEY,PR,CAYEY,STANDARD,
00738,18.304458,-65.698709,FAJARDO,PR,FAJARDO,STANDARD,
00739,18.177234,-66.160648,CIDRA,PR,CIDRA,STANDARD,
00740,18.331178,-65.634102,PUERTO REAL,PR,FAJARDO,STANDARD,
00741,18.163855,-65.754040,PUNTA SANTIAGO,PR,HUMACAO,STANDARD,
00742,18.270000,-65.650002,ROOSEVELT ROADS,PR,CEIBA,STANDARD,
00744,18.219999,-65.790001,RIO BLANCO,PR,NAGUABO,PO BOX ONLY,
00745,18.352216,-65.817390,RIO GRANDE,PR,RIO GRANDE,STANDARD,
00751,18.001317,-66.252186,SALINAS,PR,SALINAS,STANDARD,
00754,18.147107,-65.976164,SAN LORENZO,PR,SAN LORENZO,STANDARD,
00757,17.995441,-66.391331,SANTA ISABEL,PR,SANTA ISABEL,STANDARD,
00765,18.130097,-65.439366,VIEQUES,PR,VIEQUES,STANDARD,
00766,18.133196,-66.476913,VILLALBA,PR,VILLALBA,STANDARD,
00767,18.069489,-65.896162,YABUCOA,PR,YABUCOA,STANDARD,
00769,18.103801,-66.357583,COAMO,PR,COAMO,STANDARD,
00771,18.187148,-65.871191,LAS PIEDRAS,PR,LAS PIEDRAS,STANDARD,
00772,18.438968,-65.905171,LOIZA,PR,LOIZA,STANDARD,
00773,18.342888,-65.723106,LUQUILLO,PR,LUQUILLO,STANDARD,
00775,18.326600,-65.307721,CULEBRA,PR,CULEBRA,PO BOX ONLY,
00777,18.224133,-65.908539,JUNCOS,PR,JUNCOS,STANDARD,
00778,18.264076,-65.978507,GURABO,PR,GURABO,STANDARD,
00780,18.102834,-66.568103,COTO LAUREL,PR,PONCE,STANDARD,
00782,18.225708,-66.221635,COMERIO,PR,COMERIO,STANDARD,
00783,18.303910,-66.326178,COROZAL,PR,COROZAL,STANDARD,
00784,18.010714,-66.133614,GUAYAMA,PR,GUAYAMA,STANDARD,
00785,17.970001,-66.110002,GUAYAMA,PR,GUAYANILLA,STANDARD,
00786,18.155423,-66.229906,LA PLATA,PR,AIBONITO,PO BOX ONLY,
00791,18.136782,-65.821474,HUMACAO,PR,HUMACAO,STANDARD,
00792,18.150000,-65.810000,HUMACAO,PR,HUMACAO,STANDARD,
00794,18.198955,-66.309833,BARRANQUITAS,PR,BARRANQUITAS,STANDARD,
00795,18.060494,-66.500627,JUANA DIAZ,PR,JUANA DIAZ,STANDARD,
00801,18.349872,-64.974019,ST THOMAS,VI,SAINT THOMAS,STANDARD,
00802,18.340876,-64.923509,ST THOMAS,VI,SAINT THOMAS,STANDARD,
00803,18.350000,-64.929998,ST THOMAS,VI,SAINT THOMAS,STANDARD,
00804,18.350000,-64.929998,ST THOMAS,VI,SAINT THOMAS,STANDARD,
00805,18.340000,-64.929998,ST THOMAS,VI,SAINT THOMAS,STANDARD,
00820,17.743073,-64.686570,CHRISTIANSTED,VI,SAINT CROIX,STANDARD,
00821,17.740001,-64.699998,CHRISTIANSTED,VI,SAINT CROIX,STANDARD,
00822,17.740001,-64.699998,CHRISTIANSTED,VI,SAINT CROIX,STANDARD,
00823,17.723549,-64.745931,CHRISTIANSTED,VI,SAINT CROIX,STANDARD,
00824,17.744557,-64.682930,CHRISTIANSTED,VI,SAINT CROIX,STANDARD,
00830,18.338559,-64.736533,ST JOHN,VI,SAINT JOHN,STANDARD,
00831,18.327295,-64.786721,ST JOHN,VI,SAINT JOHN,STANDARD,
00840,17.747873,-64.880698,FREDERIKSTED,VI,SAINT CROIX,STANDARD,
00841,17.768133,-64.807854,FREDERIKSTED,VI,SAINT CROIX,STANDARD,
00850,17.705252,-64.752557,KINGSHILL,VI,SAINT CROIX,STANDARD,
00851,17.732228,-64.770759,KINGSHILL,VI,SAINT CROIX,STANDARD,
00901,18.465369,-66.104613,SAN JUAN,PR,SAN JUAN,STANDARD,
00902,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,STANDARD,
00906,18.464460,-66.094996,SAN JUAN,PR,SAN JUAN,STANDARD,
00907,18.452553,-66.077839,SAN JUAN,PR,SAN JUAN,STANDARD,
00908,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,STANDARD,
00909,18.441610,-66.067129,SAN JUAN,PR,SAN JUAN,STANDARD,
00910,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,STANDARD,
00911,18.451158,-66.056201,SAN JUAN,PR,SAN JUAN,STANDARD,
00912,18.445329,-66.060135,SAN JUAN,PR,SAN JUAN,STANDARD,
00913,18.450002,-66.042656,SAN JUAN,PR,SAN JUAN,STANDARD,
00914,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,STANDARD,
00915,18.437179,-66.045573,SAN JUAN,PR,SAN JUAN,STANDARD,
00916,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,STANDARD,
00917,18.420674,-66.050108,SAN JUAN,PR,SAN JUAN,STANDARD,
00918,18.421022,-66.065790,SAN JUAN,PR,SAN JUAN,STANDARD,
00919,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,STANDARD,
00920,18.414292,-66.088043,SAN JUAN,PR,SAN JUAN,STANDARD,
00921,18.392282,-66.088555,SAN JUAN,PR,SAN JUAN,STANDARD,
00922,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,STANDARD,
00923,18.409306,-66.038886,SAN JUAN,PR,SAN JUAN,STANDARD,
00924,18.399193,-66.012453,SAN JUAN,PR,SAN JUAN,STANDARD,
00925,18.400296,-66.050600,SAN JUAN,PR,SAN JUAN,STANDARD,
00926,18.345400,-66.051542,SAN JUAN,PR,SAN JUAN,STANDARD,
00927,18.388012,-66.072088,SAN JUAN,PR,SAN JUAN,STANDARD,
00928,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,STANDARD,
00929,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,STANDARD,
00930,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,STANDARD,
00931,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,STANDARD,
00933,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,STANDARD,
00934,18.411313,-66.124236,FORT BUCHANAN,PR,BAYAMON,STANDARD,
00935,18.400000,-66.059998,SAN JUAN,PR,SAN JUAN,UNIQUE,
00936,18.395463,-66.073775,SAN JUAN,PR,SAN JUAN,STANDARD,
